frame,clase,conf,cx,cy,cz,dx,dy,dz,yaw_deg,n_pts,marco
165,silla,0.921,-0.771,5.146,0.193,0.22,0.115,0.261,-1.6,249,mundo
165,mesa,0.617,-1.518,1.851,0.013,0.905,0.297,1.006,-56.9,6252,mundo
165,silla,0.404,-1.441,2.609,-0.11,0.864,0.403,0.846,-89.1,4345,mundo
168,ventana,0.965,0.433,5.85,1.595,0.597,0.22,0.17,173.4,603,mundo
168,silla,0.918,-1.006,5.206,0.248,0.389,0.07,0.111,179.2,303,mundo
168,mesa,0.754,-1.518,1.863,0.013,0.912,0.285,1.011,-56.8,5979,mundo
168,silla,0.693,-1.395,2.665,0.071,0.678,0.242,0.45,-81.6,1825,mundo
171,ventana,0.969,-0.817,5.98,1.233,0.685,0.089,0.361,82.8,558,mundo
171,silla,0.904,-0.955,5.259,0.283,0.499,0.121,0.22,176.5,589,mundo
171,silla,0.766,-1.402,2.594,0.07,0.864,0.31,0.441,-91.5,2747,mundo
171,mesa,0.764,-1.406,1.726,0.094,0.595,0.167,0.244,-75.9,2455,mundo
174,ventana,0.963,-1.303,5.781,0.979,0.727,0.112,0.197,97.3,677,mundo
174,silla,0.836,-0.979,5.263,0.3,0.524,0.137,0.191,-176.3,705,mundo
174,mesa,0.799,-1.397,1.751,-0.131,0.582,0.166,0.734,-73.1,2627,mundo
174,silla,0.413,-1.777,2.708,-0.404,0.415,0.441,0.162,-62.9,1552,mundo
177,silla,0.959,-0.971,5.239,0.285,0.528,0.129,0.173,176.2,781,mundo
177,ventana,0.951,-1.069,5.845,1.6,0.903,0.448,0.306,-176.0,1312,mundo
177,mesa,0.858,-1.525,1.872,0.002,0.85,0.286,1.036,-54.3,5536,mundo
177,silla,0.543,-1.806,2.729,-0.379,0.473,0.176,0.323,155.8,1982,mundo
180,silla,0.979,-1.061,5.258,0.201,0.724,0.271,0.178,170.8,947,mundo
180,ventana,0.96,-1.03,5.842,1.655,0.82,0.348,0.155,-177.1,954,mundo
180,mesa,0.824,-1.393,1.727,-0.137,0.477,0.161,0.737,-72.9,2598,mundo
180,silla,0.633,-1.755,2.698,-0.379,0.429,0.193,0.329,153.2,1815,mundo
183,ventana,0.971,-1.173,5.846,1.415,1.23,0.702,0.312,-8.5,1941,mundo
183,silla,0.953,-1.125,5.264,0.204,0.737,0.197,0.19,-168.2,878,mundo
183,silla,0.779,-1.837,2.772,-0.401,0.579,0.171,0.298,152.1,1892,mundo
183,mesa,0.591,-1.65,2.061,0.356,0.422,0.178,0.3,-48.8,2140,mundo
186,ventana,0.971,-0.818,5.42,0.587,0.79,0.188,0.174,173.8,1154,mundo
186,silla,0.911,-1.067,5.26,0.198,0.715,0.264,0.211,170.9,1061,mundo
186,silla,0.677,-1.419,2.512,0.07,0.735,0.36,0.449,-84.8,3407,mundo
189,ventana,0.979,-1.052,5.883,1.599,0.832,0.491,0.222,173.2,1266,mundo
189,silla,0.943,-0.961,5.249,0.257,0.531,0.19,0.178,174.7,781,mundo
189,silla,0.804,-1.696,2.585,-0.459,0.511,0.445,0.211,131.1,2294,mundo
192,ventana,0.969,-1.228,5.871,1.439,1.084,0.61,0.306,-8.1,1601,mundo
192,silla,0.947,-0.773,5.155,0.153,0.268,0.147,0.114,-148.5,365,mundo
192,silla,0.757,-1.768,2.654,-0.377,0.311,0.175,0.3,148.4,1244,mundo
195,ventana,0.978,-0.875,5.397,0.584,0.813,0.177,0.185,177.0,1155,mundo
195,silla,0.936,-0.959,5.237,0.266,0.543,0.125,0.135,175.5,615,mundo
195,silla,0.651,-1.774,2.681,-0.389,0.299,0.139,0.293,159.3,1355,mundo
198,ventana,0.958,0.759,5.693,1.008,0.712,0.1,0.2,92.6,535,mundo
198,silla,0.864,-0.957,5.243,0.246,0.556,0.173,0.216,170.9,944,mundo
198,silla,0.773,-1.323,2.603,-0.038,0.274,0.192,0.483,-58.5,1465,mundo
198,mesa,0.547,0.694,1.14,0.029,0.23,0.175,0.498,-113.2,1244,mundo
201,silla,0.962,-1.079,5.34,-0.299,0.462,0.297,0.178,-87.4,859,mundo
201,ventana,0.954,-0.867,5.386,0.588,0.814,0.185,0.146,174.6,1211,mundo
201,silla,0.764,-1.799,2.726,-0.383,0.317,0.175,0.295,152.1,1648,mundo
204,ventana,0.966,-0.82,5.378,0.592,0.737,0.176,0.126,172.0,1131,mundo
204,silla,0.94,-1.08,5.336,-0.362,0.339,0.249,0.164,-92.9,677,mundo
204,silla,0.765,-1.762,2.714,-0.381,0.406,0.141,0.285,141.2,1430,mundo
204,mesa,0.44,1.757,2.802,0.881,0.484,0.151,0.156,-91.0,1078,mundo
207,ventana,0.967,-0.861,5.393,0.578,0.842,0.183,0.15,172.3,1314,mundo
207,silla,0.944,-1.067,5.316,-0.351,0.384,0.235,0.151,-13.9,719,mundo
207,silla,0.835,-1.322,2.586,-0.161,0.351,0.163,0.72,-80.9,1912,mundo
207,mesa,0.432,1.758,2.781,0.887,0.44,0.129,0.109,-88.0,911,mundo
210,ventana,0.964,-0.849,5.394,0.587,0.854,0.18,0.176,172.9,1112,mundo
210,silla,0.935,-0.927,5.271,0.315,0.411,0.081,0.111,-177.5,331,mundo
210,silla,0.749,-1.34,2.533,-0.058,0.215,0.278,0.47,174.2,1578,mundo
210,mesa,0.636,1.734,2.766,0.885,0.42,0.062,0.112,-89.1,733,mundo
213,ventana,0.965,-0.815,5.352,0.59,0.736,0.179,0.199,174.4,985,mundo
213,silla,0.914,-0.799,5.183,0.153,0.265,0.263,0.187,-151.2,539,mundo
213,silla,0.814,-1.425,2.304,0.076,0.415,0.183,0.387,142.6,1489,mundo
213,mesa,0.704,1.731,2.772,0.869,0.385,0.082,0.133,-90.3,798,mundo
216,ventana,0.97,-1.221,5.896,1.292,1.12,0.529,0.224,-18.8,1233,mundo
216,silla,0.93,-1.19,5.234,0.166,0.302,0.179,0.222,-41.1,494,mundo
216,silla,0.845,-1.421,2.275,0.059,0.401,0.186,0.432,147.7,1675,mundo
216,mesa,0.682,0.671,1.187,0.14,0.222,0.065,0.268,-110.2,644,mundo
219,ventana,0.964,-0.806,5.34,0.59,0.71,0.184,0.187,172.8,1165,mundo
219,silla,0.934,-0.777,5.185,0.152,0.264,0.187,0.187,-142.7,450,mundo
219,silla,0.866,-1.375,2.23,0.067,0.208,0.244,0.43,-87.6,1650,mundo
219,mesa,0.435,1.765,2.765,0.857,0.415,0.162,0.14,-88.4,1146,mundo
222,ventana,0.964,-0.839,5.362,0.587,0.717,0.186,0.148,174.3,1085,mundo
222,silla,0.942,-0.783,5.174,0.149,0.252,0.188,0.171,-130.9,439,mundo
222,silla,0.781,-1.377,2.648,0.014,0.345,0.232,0.323,-82.5,1630,mundo
225,ventana,0.962,-0.83,5.364,0.598,0.692,0.169,0.123,173.3,943,mundo
225,silla,0.95,-0.772,5.166,0.152,0.239,0.173,0.177,-110.1,484,mundo
225,silla,0.717,-1.415,2.688,0.01,0.452,0.299,0.338,-47.9,1728,mundo
228,ventana,0.966,-0.851,5.384,0.578,0.846,0.197,0.141,174.0,1298,mundo
228,silla,0.933,-1.267,5.211,0.015,0.326,0.244,0.171,-41.4,574,mundo
228,silla,0.788,-1.339,2.655,-0.157,0.415,0.239,0.713,-102.4,2215,mundo
231,ventana,0.971,-0.858,5.391,0.578,0.857,0.19,0.144,171.6,1198,mundo
231,silla,0.94,-0.966,5.266,0.289,0.504,0.099,0.109,178.2,634,mundo
231,silla,0.799,-1.435,2.698,-0.057,0.475,0.176,0.184,-74.0,1055,mundo
234,ventana,0.979,0.771,5.75,1.146,0.762,0.102,0.359,91.0,676,mundo
234,silla,0.924,-1.04,5.356,-0.259,0.537,0.326,0.125,7.0,911,mundo
234,silla,0.746,-1.41,2.695,-0.047,0.452,0.279,0.457,-54.7,2110,mundo
237,ventana,0.964,-0.852,5.406,0.59,0.865,0.192,0.171,171.4,1255,mundo
237,silla,0.855,-0.98,5.273,0.3,0.531,0.099,0.109,-178.4,571,mundo
237,silla,0.79,-1.436,2.714,-0.043,0.52,0.29,0.465,-49.3,2278,mundo
240,ventana,0.97,0.765,5.699,1.02,0.753,0.119,0.253,90.0,682,mundo
240,silla,0.887,-0.856,5.171,0.22,0.341,0.339,0.193,-168.1,559,mundo
240,silla,0.788,-1.421,2.706,-0.037,0.49,0.283,0.444,138.4,2149,mundo
243,ventana,0.971,-0.133,5.867,1.641,1.069,0.214,0.088,169.7,1101,mundo
243,silla,0.948,-1.049,5.367,-0.358,0.316,0.228,0.154,-41.6,469,mundo
243,silla,0.798,-1.333,2.215,0.003,0.271,0.189,0.549,-73.6,1478,mundo
246,ventana,0.979,-0.817,5.415,0.587,0.789,0.189,0.178,173.0,1228,mundo
246,silla,0.934,-0.956,5.28,0.301,0.367,0.074,0.099,179.5,366,mundo
